k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,cost_fp,cost_fn
1.2,413,229,3421,7,0.016666666666666666,0.06273972602739726,369.0,0.09066339066339066,1.0,20
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,339.0,0.0832923832923833,1.0,20
1.3,418,280,3370,2,0.004761904761904762,0.07671232876712329,320.0,0.07862407862407862,1.0,20
1.35,419,311,3339,1,0.002380952380952381,0.0852054794520548,331.0,0.08132678132678132,1.0,20
1.4,419,336,3314,1,0.002380952380952381,0.09205479452054795,356.0,0.08746928746928746,1.0,20
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,388.0,0.09533169533169533,1.0,20
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,412.0,0.10122850122850123,1.0,20
1.55,420,425,3225,0,0.0,0.11643835616438356,425.0,0.10442260442260443,1.0,20
1.6,420,462,3188,0,0.0,0.12657534246575342,462.0,0.11351351351351352,1.0,20
1.65,420,497,3153,0,0.0,0.13616438356164384,497.0,0.12211302211302211,1.0,20
1.7,420,536,3114,0,0.0,0.14684931506849316,536.0,0.1316953316953317,1.0,20
1.75,420,571,3079,0,0.0,0.15643835616438356,571.0,0.1402948402948403,1.0,20
1.8,420,614,3036,0,0.0,0.16821917808219178,614.0,0.15085995085995085,1.0,20
1.85,420,656,2994,0,0.0,0.17972602739726026,656.0,0.16117936117936119,1.0,20
1.9,420,688,2962,0,0.0,0.1884931506849315,688.0,0.16904176904176904,1.0,20
1.95,420,728,2922,0,0.0,0.19945205479452055,728.0,0.17886977886977887,1.0,20
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,20
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,3720.0,0.914004914004914,1.0,50
0.05,348,22,3628,72,0.17142857142857143,0.006027397260273973,3622.0,0.88992628992629,1.0,50
0.1,353,27,3623,67,0.1595238095238095,0.0073972602739726025,3377.0,0.8297297297297297,1.0,50
0.15,357,27,3623,63,0.15,0.0073972602739726025,3177.0,0.7805896805896806,1.0,50
0.2,361,29,3621,59,0.14047619047619048,0.007945205479452055,2979.0,0.731941031941032,1.0,50
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,2882.0,0.7081081081081081,1.0,50
0.3,363,32,3618,57,0.1357142857142857,0.008767123287671232,2882.0,0.7081081081081081,1.0,50
0.35,367,34,3616,53,0.1261904761904762,0.009315068493150684,2684.0,0.6594594594594595,1.0,50
0.4,371,38,3612,49,0.11666666666666667,0.010410958904109589,2488.0,0.6113022113022113,1.0,50
0.45,374,47,3603,46,0.10952380952380952,0.012876712328767123,2347.0,0.5766584766584767,1.0,50
0.5,378,48,3602,42,0.1,0.01315068493150685,2148.0,0.5277641277641277,1.0,50
0.55,381,52,3598,39,0.09285714285714286,0.014246575342465753,2002.0,0.4918918918918919,1.0,50
0.6,383,55,3595,37,0.0880952380952381,0.015068493150684932,1905.0,0.4680589680589681,1.0,50
0.65,386,59,3591,34,0.08095238095238096,0.016164383561643837,1759.0,0.4321867321867322,1.0,50
0.7,388,68,3582,32,0.0761904761904762,0.01863013698630137,1668.0,0.4098280098280098,1.0,50
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,1427.0,0.3506142506142506,1.0,50
0.8,395,92,3558,25,0.05952380952380952,0.025205479452054796,1342.0,0.32972972972972975,1.0,50
0.85,397,103,3547,23,0.05476190476190476,0.028219178082191782,1253.0,0.30786240786240787,1.0,50
0.9,399,116,3534,21,0.05,0.03178082191780822,1166.0,0.2864864864864865,1.0,50
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,1081.0,0.2656019656019656,1.0,50
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,955.0,0.23464373464373464,1.0,50
1.05,407,179,3471,13,0.030952380952380953,0.04904109589041096,829.0,0.2036855036855037,1.0,50
1.1,409,200,3450,11,0.02619047619047619,0.0547945205479452,750.0,0.18427518427518427,1.0,50
1.15,411,210,3440,9,0.02142857142857143,0.057534246575342465,660.0,0.16216216216216217,1.0,50
1.2,413,229,3421,7,0.016666666666666666,0.06273972602739726,579.0,0.14226044226044227,1.0,50
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,459.0,0.11277641277641277,1.0,50
1.3,418,280,3370,2,0.004761904761904762,0.07671232876712329,380.0,0.09336609336609336,1.0,50
1.35,419,311,3339,1,0.002380952380952381,0.0852054794520548,361.0,0.0886977886977887,1.0,50
1.4,419,336,3314,1,0.002380952380952381,0.09205479452054795,386.0,0.09484029484029484,1.0,50
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,418.0,0.10270270270270271,1.0,50
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,442.0,0.10859950859950859,1.0,50
1.55,420,425,3225,0,0.0,0.11643835616438356,425.0,0.10442260442260443,1.0,50
1.6,420,462,3188,0,0.0,0.12657534246575342,462.0,0.11351351351351352,1.0,50
1.65,420,497,3153,0,0.0,0.13616438356164384,497.0,0.12211302211302211,1.0,50
1.7,420,536,3114,0,0.0,0.14684931506849316,536.0,0.1316953316953317,1.0,50
1.75,420,571,3079,0,0.0,0.15643835616438356,571.0,0.1402948402948403,1.0,50
1.8,420,614,3036,0,0.0,0.16821917808219178,614.0,0.15085995085995085,1.0,50
1.85,420,656,2994,0,0.0,0.17972602739726026,656.0,0.16117936117936119,1.0,50
1.9,420,688,2962,0,0.0,0.1884931506849315,688.0,0.16904176904176904,1.0,50
1.95,420,728,2922,0,0.0,0.19945205479452055,728.0,0.17886977886977887,1.0,50
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,50
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,7420.0,1.8230958230958232,1.0,100
0.05,348,22,3628,72,0.17142857142857143,0.006027397260273973,7222.0,1.7744471744471744,1.0,100
0.1,353,27,3623,67,0.1595238095238095,0.0073972602739726025,6727.0,1.6528255528255529,1.0,100
0.15,357,27,3623,63,0.15,0.0073972602739726025,6327.0,1.5545454545454545,1.0,100
0.2,361,29,3621,59,0.14047619047619048,0.007945205479452055,5929.0,1.4567567567567568,1.0,100
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,5732.0,1.4083538083538083,1.0,100
0.3,363,32,3618,57,0.1357142857142857,0.008767123287671232,5732.0,1.4083538083538083,1.0,100
0.35,367,34,3616,53,0.1261904761904762,0.009315068493150684,5334.0,1.3105651105651106,1.0,100
0.4,371,38,3612,49,0.11666666666666667,0.010410958904109589,4938.0,1.2132678132678132,1.0,100
0.45,374,47,3603,46,0.10952380952380952,0.012876712328767123,4647.0,1.1417690417690418,1.0,100
0.5,378,48,3602,42,0.1,0.01315068493150685,4248.0,1.0437346437346438,1.0,100
0.55,381,52,3598,39,0.09285714285714286,0.014246575342465753,3952.0,0.971007371007371,1.0,100
0.6,383,55,3595,37,0.0880952380952381,0.015068493150684932,3755.0,0.9226044226044227,1.0,100
0.65,386,59,3591,34,0.08095238095238096,0.016164383561643837,3459.0,0.8498771498771499,1.0,100
0.7,388,68,3582,32,0.0761904761904762,0.01863013698630137,3268.0,0.802948402948403,1.0,100
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,2777.0,0.6823095823095823,1.0,100
0.8,395,92,3558,25,0.05952380952380952,0.025205479452054796,2592.0,0.6368550368550369,1.0,100
0.85,397,103,3547,23,0.05476190476190476,0.028219178082191782,2403.0,0.5904176904176904,1.0,100
0.9,399,116,3534,21,0.05,0.03178082191780822,2216.0,0.5444717444717445,1.0,100
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,2031.0,0.49901719901719904,1.0,100
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,1755.0,0.4312039312039312,1.0,100
1.05,407,179,3471,13,0.030952380952380953,0.04904109589041096,1479.0,0.3633906633906634,1.0,100
1.1,409,200,3450,11,0.02619047619047619,0.0547945205479452,1300.0,0.3194103194103194,1.0,100
1.15,411,210,3440,9,0.02142857142857143,0.057534246575342465,1110.0,0.2727272727272727,1.0,100
1.2,413,229,3421,7,0.016666666666666666,0.06273972602739726,929.0,0.22825552825552825,1.0,100
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,659.0,0.16191646191646192,1.0,100
1.3,418,280,3370,2,0.004761904761904762,0.07671232876712329,480.0,0.11793611793611794,1.0,100
1.35,419,311,3339,1,0.002380952380952381,0.0852054794520548,411.0,0.10098280098280098,1.0,100
1.4,419,336,3314,1,0.002380952380952381,0.09205479452054795,436.0,0.10712530712530713,1.0,100
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,468.0,0.11498771498771498,1.0,100
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,492.0,0.12088452088452088,1.0,100
1.55,420,425,3225,0,0.0,0.11643835616438356,425.0,0.10442260442260443,1.0,100
1.6,420,462,3188,0,0.0,0.12657534246575342,462.0,0.11351351351351352,1.0,100
1.65,420,497,3153,0,0.0,0.13616438356164384,497.0,0.12211302211302211,1.0,100
1.7,420,536,3114,0,0.0,0.14684931506849316,536.0,0.1316953316953317,1.0,100
1.75,420,571,3079,0,0.0,0.15643835616438356,571.0,0.1402948402948403,1.0,100
1.8,420,614,3036,0,0.0,0.16821917808219178,614.0,0.15085995085995085,1.0,100
1.85,420,656,2994,0,0.0,0.17972602739726026,656.0,0.16117936117936119,1.0,100
1.9,420,688,2962,0,0.0,0.1884931506849315,688.0,0.16904176904176904,1.0,100
1.95,420,728,2922,0,0.0,0.19945205479452055,728.0,0.17886977886977887,1.0,100
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,100
