k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.05,557,164,9039,535,0.4899267399267399,0.017820275996957513,26914.0,2.6142787761049053,FD002,1.0,50,20
0.1,580,191,9012,512,0.46886446886446886,0.020754101923285886,25791.0,2.505196697425935,FD002,1.0,50,20
0.15,601,205,8998,491,0.44963369963369965,0.02227534499619689,24755.0,2.4045653229723167,FD002,1.0,50,20
0.2,615,219,8984,477,0.4368131868131868,0.0237965880691079,24069.0,2.3379310344827586,FD002,1.0,50,20
0.25,640,240,8963,452,0.4139194139194139,0.02607845267847441,22840.0,2.218552695483244,FD002,1.0,50,20
0.3,663,261,8942,429,0.39285714285714285,0.02836031728784092,21711.0,2.1088878096163186,FD002,1.0,50,20
0.35,688,280,8923,404,0.36996336996337,0.030424861458220147,20480.0,1.9893152015541524,FD002,1.0,50,20
0.4,710,304,8899,382,0.3498168498168498,0.03303270672606759,19404.0,1.884798445847499,FD002,1.0,50,20
0.45,728,327,8876,364,0.3333333333333333,0.035531891774421384,18527.0,1.7996114618746966,FD002,1.0,50,20
0.5,753,357,8846,339,0.31043956043956045,0.038791698359230686,17307.0,1.6811073336571152,FD002,1.0,50,20
0.55,776,393,8810,316,0.2893772893772894,0.04270346626100185,16193.0,1.5728994657600777,FD002,1.0,50,20
0.6,807,439,8764,285,0.260989010989011,0.04770183635770944,14689.0,1.4268091306459447,FD002,1.0,50,20
0.65,835,476,8727,257,0.23534798534798534,0.051722264478974246,13326.0,1.2944147644487616,FD002,1.0,50,20
0.7,849,518,8685,243,0.22252747252747251,0.056285993697707266,12668.0,1.2305002428363283,FD002,1.0,50,20
0.75,866,568,8635,226,0.20695970695970695,0.06171900467238944,11868.0,1.1527926177756191,FD002,1.0,50,20
0.8,885,616,8587,207,0.18956043956043955,0.06693469520808432,10966.0,1.0651772705196698,FD002,1.0,50,20
0.85,911,671,8532,181,0.16575091575091574,0.07291100728023471,9721.0,0.9442447790189412,FD002,1.0,50,20
0.9,931,733,8470,161,0.14743589743589744,0.0796479408888406,8783.0,0.8531325886352599,FD002,1.0,50,20
0.95,948,799,8404,144,0.13186813186813187,0.08681951537542106,7999.0,0.776979116075765,FD002,1.0,50,20
1.0,963,859,8344,129,0.11813186813186813,0.09333912854503966,7309.0,0.7099562894609034,FD002,1.0,50,20
1.05,976,926,8277,116,0.10622710622710622,0.10061936325111377,6726.0,0.6533268576979117,FD002,1.0,50,20
1.1,986,1017,8186,106,0.09706959706959707,0.11050744322503532,6317.0,0.6135988343856241,FD002,1.0,50,20
1.15,999,1094,8109,93,0.08516483516483517,0.11887428012604585,5744.0,0.5579407479358912,FD002,1.0,50,20
1.2,1008,1185,8018,84,0.07692307692307693,0.12876236009996742,5385.0,0.523069451189898,FD002,1.0,50,20
1.25,1017,1293,7910,75,0.06868131868131869,0.1404976638052809,5043.0,0.4898494414764449,FD002,1.0,50,20
1.3,1019,1369,7834,73,0.06684981684981685,0.1487558404867978,5019.0,0.4875182127246236,FD002,1.0,50,20
1.35,1029,1470,7733,63,0.057692307692307696,0.15973052265565577,4620.0,0.44876153472559493,FD002,1.0,50,20
1.4,1035,1558,7645,57,0.0521978021978022,0.16929262197109637,4408.0,0.428169014084507,FD002,1.0,50,20
1.45,1038,1685,7518,54,0.04945054945054945,0.1830924698467891,4385.0,0.42593491986401166,FD002,1.0,50,20
1.5,1046,1794,7409,46,0.04212454212454213,0.19493643377159622,4094.0,0.39766877124817873,FD002,1.0,50,20
1.55,1048,1921,7282,44,0.040293040293040296,0.20873628164728894,4121.0,0.40029140359397763,FD002,1.0,50,20
1.6,1052,2040,7163,40,0.03663003663003663,0.2216668477670325,4040.0,0.39242350655658087,FD002,1.0,50,20
