k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fn,cost_fp,split_used_for_k_selection
1.15,417,314,3502,3,0.007142857142857143,0.08228511530398323,329.0,0.07766761095372994,FD001,5,1.0,calibration
1.2,417,342,3474,3,0.007142857142857143,0.08962264150943396,357.0,0.08427762039660057,FD001,5,1.0,calibration
1.25,418,363,3453,2,0.004761904761904762,0.09512578616352202,373.0,0.0880547686496695,FD001,5,1.0,calibration
1.3,418,382,3434,2,0.004761904761904762,0.100104821802935,392.0,0.09254013220018886,FD001,5,1.0,calibration
1.35,420,416,3400,0,0.0,0.1090146750524109,416.0,0.09820585457979225,FD001,5,1.0,calibration
1.4,420,455,3361,0,0.0,0.11923480083857442,455.0,0.10741265344664779,FD001,5,1.0,calibration
1.45,420,482,3334,0,0.0,0.12631027253668764,482.0,0.11378659112370161,FD001,5,1.0,calibration
1.5,420,509,3307,0,0.0,0.13338574423480085,509.0,0.12016052880075542,FD001,5,1.0,calibration
1.55,420,568,3248,0,0.0,0.1488469601677149,568.0,0.13408876298394712,FD001,5,1.0,calibration
1.6,420,602,3214,0,0.0,0.15775681341719078,602.0,0.1421152030217186,FD001,5,1.0,calibration
1.65,420,645,3171,0,0.0,0.1690251572327044,645.0,0.15226628895184136,FD001,5,1.0,calibration
1.7,420,689,3127,0,0.0,0.18055555555555555,689.0,0.16265344664778092,FD001,5,1.0,calibration
1.75,420,736,3080,0,0.0,0.1928721174004193,736.0,0.17374881964117092,FD001,5,1.0,calibration
1.8,420,783,3033,0,0.0,0.20518867924528303,783.0,0.1848441926345609,FD001,5,1.0,calibration
1.85,420,830,2986,0,0.0,0.21750524109014674,830.0,0.1959395656279509,FD001,5,1.0,calibration
1.9,420,882,2934,0,0.0,0.23113207547169812,882.0,0.20821529745042494,FD001,5,1.0,calibration
1.95,420,934,2882,0,0.0,0.24475890985324947,934.0,0.22049102927289896,FD001,5,1.0,calibration
2.0,420,998,2818,0,0.0,0.26153039832285113,998.0,0.2355996222851747,FD001,5,1.0,calibration
2.05,420,1073,2743,0,0.0,0.2811844863731656,1073.0,0.2533050047214353,FD001,5,1.0,calibration
2.1,420,1129,2687,0,0.0,0.29585953878406707,1129.0,0.26652502360717656,FD001,5,1.0,calibration
